Country,Region Name,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains
italy,'OnneFonni,8,3894.54609470251,30597,7.85637125764644,0,23310,0,33,7254,0,0,0,0
italy,Abano Terme,8,20030.4990531044,84154,4.20129322673852,0,51319,0,33,32643,0,0,0,159
italy,AbasAles,8,1453.40574979782,12100,8.32527324299026,0,8473,0,0,3627,0,0,0,0
italy,Abbadia Cerreto,8,315.433557102573,3222,10.2145124621356,0,2331,0,891,0,0,0,0,0
italy,Abbadia Lariana,8,2911.0646053442,12904,4.43274256995551,0,11914,0,990,0,0,0,0,0
italy,Abbadia San Salvatore,8,6383.11738376771,31415,4.9215764196799,0,24161,0,0,7254,0,0,0,0
italy,Abbasanta,8,3021.25743633198,34024,11.2615362037164,0,22496,0,594,10881,0,0,0,53
italy,Abbateggio,8,475.108795009946,621,1.30706904717897,0,555,0,66,0,0,0,0,0
italy,Abbiategrasso,8,31445.2453079289,76607,2.43620296963254,0,15392,19361,5478,36270,0,0,0,106
italy,Abetone Cutigliano,8,2117.0501495096,37304,17.6207446047706,0,26159,0,264,10881,0,0,0,0
italy,Abriola,8,1450.52074781967,3263,2.24953693692746,0,2405,0,858,0,0,0,0,0
italy,Acate,8,10058.2608444978,30313,3.01374168642508,0,13653,0,2046,14508,0,0,0,106
italy,Accadia,8,2137.34041213703,17909,8.37910512443529,0,14282,0,0,3627,0,0,0,0
italy,Acceglio,8,165.757078833038,7915,47.7506001898872,0,7585,0,330,0,0,0,0,0
italy,Accettura,8,1801.03927682854,12168,6.75609919036675,0,7881,0,660,3627,0,0,0,0
italy,Acciano,8,328.581543825567,555,1.68907843556372,0,555,0,0,0,0,0,0,0
italy,Accumoli,8,635.536599270679,15943,25.0858880799244,0,11359,0,957,3627,0,0,0,0
italy,Acerenza,8,2364.72028838985,5008,2.11779804342524,0,1295,0,33,3627,0,0,0,53
italy,Acerno,8,2781.82321190834,4256,1.52993187409647,0,629,0,0,3627,0,0,0,0
