id,Country,Place Name,region,lon,lat,coordinates,bounding_box,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains,restaurants,pubs,bars_cafes,biergarten,fast_foods,food_courts,ice_cream,churches,museums,castles,artworks,theatres,monuments,amphitheatres,gyms,swimming_pools,sports_halls,tennis_fields,padel_fields,soccer_fields,sport_shops,stadiums,spa,markets,supermarkets,clothes_shops,electronics_shops,jewelry_shops,parks,picnic_areas,rivers,lakes,trails
773,'italy','Mombercelli',' Piemonte',44.8177098,8.2946688,ST_GeogFromText('POINT(8.2946688 44.8177098)'),"'(8.2846688, 44.807709800000005, 8.3046688, 44.8277098)'",8,2323.28283453899,8545,3.67798525128586,0,1258,0,33,7254,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
774,'italy','Momo',' Piemonte',45.5748887,8.5561394,ST_GeogFromText('POINT(8.5561394 45.5748887)'),"'(8.5461394, 45.564888700000004, 8.566139399999999, 45.5848887)'",8,2601.65039892793,31793,12.220319845088,0,5587,16721,2178,7254,0,0,0,53,1,0,1,0,0,0,0,3,0,0,5,1,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0
775,'italy','Mompantero',' Piemonte',45.1420427,7.0646093,ST_GeogFromText('POINT(7.0646093 45.1420427)'),"'(7.0546093, 45.1320427, 7.0746093, 45.152042699999996)'",8,802.749430602387,4556,5.67549452707946,0,4292,0,264,0,0,0,0,0,1,0,6,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,2,1,0,1,3,3,3,0
776,'italy','Momperone',' Piemonte',44.8384452,9.0353171,ST_GeogFromText('POINT(9.0353171 44.8384452)'),"'(9.0253171, 44.828445200000004, 9.0453171, 44.8484452)'",8,207.888904173858,4104,19.7413133534429,0,3774,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
777,'italy','Monale',' Piemonte',44.9360495,8.0718593,ST_GeogFromText('POINT(8.0718593 44.9360495)'),"'(8.0618593, 44.926049500000005, 8.0818593, 44.9460495)'",8,996.374377731336,1978,1.98519757654121,0,1813,0,165,0,0,0,0,0,0,1,2,0,0,0,0,3,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
778,'italy','Monastero Bormida',' Piemonte',44.648543,8.326643,ST_GeogFromText('POINT(8.326643 44.648543)'),"'(8.316643000000001, 44.638543, 8.336643, 44.658542999999995)'",8,1013.61885806033,12927,12.7533144211002,0,7881,0,1419,3627,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0
779,'italy','Monastero di Lanzo',' Piemonte',45.3018726,7.4396812,ST_GeogFromText('POINT(7.4396812 45.3018726)'),"'(7.4296812, 45.291872600000005, 7.4496812, 45.3118726)'",8,357.276549863163,5769,16.1471554800043,0,5439,0,330,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,'italy','Monastero di Vasco',' Piemonte',44.3300939,7.82269949240977,ST_GeogFromText('POINT(7.82269949240977 44.3300939)'),"'(7.81269949240977, 44.3200939, 7.83269949240977, 44.3400939)'",8,1272.87440713705,14901,11.7065752256858,0,14208,0,693,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,'italy','Monasterolo Casotto',' Piemonte',44.328232,7.943241,ST_GeogFromText('POINT(7.943241 44.328232)'),"'(7.933241000000001, 44.318232, 7.953241, 44.338232)'",8,89.9380165097828,4736,52.6584884100135,0,4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,'italy','Monasterolo di Savigliano',' Piemonte',44.686338,7.619528,ST_GeogFromText('POINT(7.619528 44.686338)'),"'(7.609528, 44.676338, 7.629528, 44.696338)'",8,1437.96187597788,13432,9.34099869015349,0,9805,0,0,3627,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,'italy','Moncalieri',' Piemonte',45.0004614,7.6847543,ST_GeogFromText('POINT(7.6847543 45.0004614)'),"'(7.6747543, 44.9904614, 7.6947543, 45.0104614)'",8,53970.8509989169,1594515,29.5440032997071,0,56869,1424955,3828,108810,0,0,0,53,5,1,10,0,1,0,1,3,0,1,1,1,1,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,1,0
784,'italy','Moncalvo',' Piemonte',45.050205,8.2650382,ST_GeogFromText('POINT(8.2650382 45.050205)'),"'(8.2550382, 45.040205, 8.2750382, 45.060204999999996)'",8,2989.20858990232,17008,5.68980032288605,0,2368,0,132,14508,0,0,0,0,5,0,2,0,0,0,0,5,1,1,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
785,'italy','Moncenisio',' Piemonte',45.2052852,6.9824996,ST_GeogFromText('POINT(6.9824996 45.2052852)'),"'(6.9724996, 45.1952852, 6.9924995999999995, 45.2152852)'",8,39.9868175387383,1110,27.7591483474437,0,1110,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
